"","a.key","a.AIC","a.CvonM_p","a.P_enc_medio","a.SE_P_enc_medio","a.Muestreo","b.Modelo","b.Región","b.D_est","b.SE","b.Lcl","b.Ucl","b.Group_Size_est","b.SE_grupo","b.N_est","b.LclN","b.UclN","b.Muestreo","a$Muestreo","Muestreo","dia1","mes1","anio","est","fecha","season"
"26",hn,2227.6478,0.6449526,0.4361035,0.02542805,26,hn,ML,25.066892, 6.942622,14.261734, 44.05839, 9.054348,1.4319271,15416.139, 8770.967,27095.911,26,26,26, 1, 4,2017,"oto",2017-04-01,"Autumn"
"27",hn,1368.6218,0.4589909,0.3874741,0.02375942,27,hn,ML,25.031991, 7.973579,13.127235, 47.73287,13.460870,3.1589379,15394.675, 8073.249,29355.715,27,27,27,28, 3,2018,"oto",2018-03-28,"Autumn"
"28",hr,2155.2416,0.1768002,0.4137768,0.02667327,28,hr,ML,20.684816, 6.190019,11.268644, 37.96922, 7.505495,0.9839169,12721.162, 6930.216,23351.071,28,28,28,24, 9,2018,"pri",2018-09-24,"Spring"
"29",hn,2483.1482,0.5119407,0.4233531,0.02234114,29,hn,ML,14.444889, 3.817917, 8.423114, 24.77170, 4.737864,0.5376552, 8883.607, 5180.215,15234.594,29,29,29,13,12,2018,"ver",2018-12-13,"Summer"
"30",unif,2243.4487,0.7230325,0.4456175,0.03011462,30,unif,ML,23.298469, 5.688413,14.169975, 38.30766, 8.908602,1.5543525,14328.559, 8714.535,23559.214,30,30,30,25, 3,2019,"oto",2019-03-25,"Autumn"
"31",hr,2580.2141,0.8011802,0.6574465,0.03532789,31,hr,ML,10.121182, 2.641444, 5.941748, 17.24043, 5.130435,0.6913478, 6224.527, 3654.175,10602.867,31,31,31,24, 9,2019,"pri",2019-09-24,"Spring"
"32",hn,2919.1285,0.8361084,0.4382408,0.02054362,32,hn,ML,18.615097, 4.000389,11.981555, 28.92127, 5.402490,0.5970410,11448.284, 7368.657,17786.582,32,32,32,17,12,2019,"ver",2019-12-17,"Summer"
"33",hn,2091.5879,0.8305721,0.4200718,0.03750381,33,hn,ML,26.460449, 6.023339,16.694937, 41.93819,10.435294,2.1850387,16273.176,10267.386,25791.984,33,33,33, 1, 4,2020,"oto",2020-04-01,"Autumn"
"34",hr,1918.7549,0.7890351,0.3949680,0.03420976,34,hr,ML,17.648543, 4.430593,10.614349, 29.34434, 6.937500,1.2330820,10853.854, 6527.824,18046.771,34,34,34,15, 1,2021,"ver",2021-01-15,"Summer"
"35",unif,1766.8112,0.8354980,0.3923960,0.02288548,35,unif,ML,23.616240, 4.121881,16.533212, 33.73372, 9.993243,1.6364847,14523.987,10167.926,20746.239,35,35,35,26, 3,2021,"oto",2021-03-26,"Autumn"
"36",unif,2279.7888,0.2783300,0.4133251,0.02444995,36,unif,ML,19.934306, 5.352958,11.534399, 34.45143, 6.994681,1.0917049,12259.598, 7093.655,21187.631,36,36,36,22, 9,2021,"pri",2021-09-22,"Spring"
"37",unif,2527.8343,0.1649326,0.3832928,0.01581720,37,unif,ML,28.035000, 6.104182,17.931076, 43.83235, 8.014019,1.4294337,17241.525,11027.612,26956.896,37,37,37,22, 1,2022,"ver",2022-01-22,"Summer"
"38",hn,2710.9168,0.8586037,0.4892326,0.05500140,38,hn,ML,21.644046, 4.255349,14.614969, 32.05376, 7.681818,1.0232739,13311.088, 8988.206,19713.062,38,38,38,31, 3,2022,"oto",2022-03-31,"Autumn"
"39",hn,4225.0991,0.7126628,0.4372926,0.01676450,39,hn,ML,31.722879, 6.014939,21.477568, 46.85545, 6.343840,0.9560641,19509.571,13208.704,28816.100,39,39,39,26,12,2022,"ver",2022-12-26,"Summer"
"40",hn,1695.7037,0.9737256,0.6016875,0.04494932,40,hn,ML,23.940276, 3.974993,17.103575, 33.50977,15.518519,1.6994547,14723.270,10518.699,20608.507,40,40,40,27, 3,2023,"oto",2023-03-27,"Autumn"
"41",unif,1798.0329,0.8942527,0.5111384,0.04571929,41,unif,ML,16.854875, 3.766306,10.671263, 26.62167, 7.854167,1.3437804,10365.748, 6562.827,16372.324,41,41,41,18,10,2023,"pri",2023-10-18,"Spring"
