"","a.key","a.AIC","a.CvonM_p","a.P_enc_medio","a.SE_P_enc_medio","a.Muestreo","b.Modelo","b.Región","b.D_est","b.SE","b.Lcl","b.Ucl","b.Group_Size_est","b.SE_grupo","b.N_est","b.LclN","b.UclN","b.Muestreo"
"33",hr, 489.3868,0.76311766,0.6454229,0.17590657,11,hr,ML,11.434478, 3.9492977, 5.735242, 22.797172,15.609756, 3.7665400, 7032.204, 3527.174,14020.261,11
"34",hn,1005.3589,0.78186800,0.8110134,0.08903024,12,hn,ML, 4.679585, 1.4499900, 2.321974,  9.430988, 4.297619, 0.8965739, 2877.945, 1428.014, 5800.058,12
"35",unif,1005.5122,0.70646552,0.7828498,0.09473675,12,unif,ML, 4.847936, 1.5223103, 2.399393,  9.795179, 4.297619, 0.8965739, 2981.481, 1475.627, 6024.035,12
"36",hr,1006.9346,0.84349293,0.8459525,0.10172946,12,hr,ML, 4.486311, 1.4074437, 2.220831,  9.062820, 4.297619, 0.8965739, 2759.081, 1365.811, 5573.634,12
"37",hn,1004.0301,0.72341781,0.7808660,0.08320176,13,hn,ML,12.615116, 4.8165704, 5.279932, 30.140758,11.154762, 2.5227523, 7758.297, 3247.158,18536.566,13
"38",unif,1004.0089,0.63289435,0.7484652,0.08450313,13,unif,ML,13.161219, 5.0490430, 5.505188, 31.464446,11.154762, 2.5227523, 8094.150, 3385.691,19350.634,13
"39",hr,1005.4073,0.77641984,0.7952073,0.11164254,13,hr,ML,12.387606, 4.8633928, 5.161385, 29.730929,11.154762, 2.5227523, 7618.378, 3174.252,18284.521,13
"40",hn, 313.5562,0.17059193,0.9999988,0.24343406,14,hn,ML, 7.148873, 3.5155685, 2.543777, 20.090752,26.153846, 3.9708624, 4396.557, 1564.423,12355.812,14
"41",unif, 311.5562,0.17059278,1.0000000,NA,14,unif,ML, 7.148865, 3.0546060, 2.624621, 19.471865,26.153846,14.6281480, 4396.552, 1614.142,11975.197,14
"42",hr, 315.0775,0.09956592,0.9238090,0.13924612,14,hr,ML, 7.738466, 3.5062385, 2.827765, 21.177101,26.153846, 3.9708624, 4759.157, 1739.075,13023.917,14
"43",hn, 945.9639,0.79088098,0.8202447,0.09945144,15,hn,ML, 6.318757, 1.3311186, 4.030659,  9.905748, 6.240506, 1.0510083, 3886.036, 2478.855, 6092.035,15
"44",unif, 946.6514,0.21386668,1.0000000,NA,15,unif,ML, 5.182927, 0.8928732, 3.410687,  7.876047, 6.240506, 1.5192045, 3187.500, 2097.573, 4843.769,15
"45",hr, 946.2309,0.96209570,0.9021619,0.05059082,15,hr,ML, 5.745008, 1.0408189, 3.770709,  8.753025, 6.240506, 1.0510083, 3533.180, 2318.986, 5383.111,15
"46",hn,1014.7049,0.87493413,0.6267548,0.06135489,16,hn,ML,12.899023, 4.4582568, 5.840534, 28.487943, 8.941860, 2.4936375, 7932.899, 3591.929,17520.085,16
"47",unif,1015.3316,0.77680434,0.6122772,0.04911037,16,unif,ML,13.204026, 4.5031121, 5.986650, 29.122518, 8.941860, 2.4936375, 8120.476, 3681.789,17910.349,16
"48",hr,1016.0656,0.98977923,0.7021194,0.06920815,16,hr,ML,11.514459, 3.9819295, 5.213262, 25.431825, 8.941860, 2.4936375, 7081.393, 3206.156,15640.573,16
"49",hn,1382.2309,0.61493289,0.6413611,0.04904339,17,hn,ML, 9.785880, 2.9159952, 4.897330, 19.554216, 5.102564, 0.7996386, 6018.316, 3011.858,12025.843,17
"50",unif,1381.0702,0.73034274,0.6287969,0.04221437,17,unif,ML, 9.981415, 2.9517292, 4.998319, 19.932430, 5.102564, 0.7996386, 6138.570, 3073.966,12258.445,17
"51",hr,1382.1959,0.95483198,0.5785578,0.09153718,17,hr,ML,10.848151, 3.5646871, 5.321004, 22.116576, 5.102564, 0.7996386, 6671.613, 3272.417,13601.694,17
"52",hn, 941.5814,0.95996510,0.7300799,0.07944866,18,hn,ML,12.715062, 4.7164769, 5.463188, 29.593125,11.177215, 1.8191766, 7819.763, 3359.860,18199.772,18
"53",unif, 942.1200,0.92837174,0.7089509,0.07649224,18,unif,ML,13.094012, 4.8534964, 5.626548, 30.472174,11.177215, 1.8191766, 8052.817, 3460.327,18740.387,18
"54",hr, 943.5026,0.97283345,0.7491532,0.11207141,18,hr,ML,12.391338, 4.7691501, 5.287710, 29.038138,11.177215, 1.8191766, 7620.673, 3251.942,17858.455,18
"55",hn,1016.1438,0.18171782,0.6381777,0.06509979,19,hn,ML,10.312426, 4.2986854, 3.978133, 26.732678, 7.279070, 1.6936317, 6342.142, 2446.552,16440.597,19
"56",unif,1016.9024,0.12797465,0.6174383,0.05122061,19,unif,ML,10.658815, 4.3977903, 4.114471, 27.612382, 7.279070, 1.6936317, 6555.171, 2530.400,16981.615,19
"57",hr,1015.7340,0.33922089,0.6933689,0.07032694,19,hr,ML, 9.491571, 3.9551700, 3.661580, 24.604115, 7.279070, 1.6936317, 5837.316, 2251.871,15131.531,19
"58",hn, 933.0079,0.03854523,0.7935150,0.10194598,20,hn,ML,22.053774, 6.1848840,12.586612, 38.641769,11.935897, 2.5835584,13563.071, 7740.766,23764.688,20
"59",unif, 932.6040,0.04822820,0.8097488,0.21969629,20,unif,ML,21.611642, 7.9628137,10.607291, 44.032265,11.935897, 2.5835584,13291.160, 6523.484,27079.843,20
"60",hr, 930.3942,0.04434988,0.8112977,0.07195975,20,hr,ML,21.570380, 5.7074494,12.627350, 36.847105,11.935897, 2.5835584,13265.784, 7765.820,22660.970,20
"61",hn,1455.9637,0.87631118,0.6594784,0.05687122,21,hn,ML,24.056378, 6.0271720,14.481795, 39.961161,13.723577, 2.4389181,14794.673, 8906.304,24576.114,21
"62",unif,1457.9110,0.76921571,0.6435271,0.04940117,21,unif,ML,24.652671, 6.1001487,14.913025, 40.753244,13.723577, 2.4389181,15161.392, 9171.511,25063.245,21
"63",hr,1457.4527,0.07411154,0.8600865,0.02764891,21,hr,ML,18.445426, 4.3793321,11.330205, 30.028915,13.723577, 2.4389181,11343.937, 6968.076,18467.783,21
"64",hn, 692.6317,0.83264413,0.5027094,0.05418786,22,hn,ML,15.367852, 4.8246740, 8.178547, 28.876875, 6.850000, 1.5047165, 9451.229, 5029.806,17759.278,22
"65",unif, 692.3590,0.88111652,0.5243416,0.02695175,22,unif,ML,14.733837, 4.4099502, 8.015696, 27.082609, 6.850000, 1.5047165, 9061.310, 4929.653,16655.805,22
