"","a.key","a.AIC","a.CvonM_p","a.P_enc_medio","a.SE_P_enc_medio","a.Muestreo","b.Modelo","b.Región","b.D_est","b.SE","b.Lcl","b.Ucl","b.Group_Size_est","b.SE_grupo","b.N_est","b.LclN","b.UclN","b.Muestreo","a$Muestreo","Muestreo","dia1","mes1","anio","est","fecha","season"
"26",unif,1306.2380,0.4116668,0.5719814,0.02988878,27,unif,ML,25.140151, 8.014741,13.166492, 48.002703,13.660714,3.2270896,15461.193, 8097.393,29521.663,27,27,27,28, 3,2018,"oto",2018-03-28,"Autumn"
"27",hr,2056.4526,0.1480860,0.6015175,0.04155663,28,hr,ML,20.530781, 6.393104,10.926778, 38.576144, 7.423729,0.9897535,12626.430, 6719.969,23724.329,28,28,28,24, 9,2018,"pri",2018-09-24,"Spring"
"28",hn,2302.1954,0.4422049,0.6020733,0.03907353,29,hn,ML,14.330180, 3.784540, 8.370874, 24.531975, 4.683673,0.5645042, 8813.061, 5148.087,15087.165,29,29,29,13,12,2018,"ver",2018-12-13,"Summer"
"29",hn,2098.8288,0.6137870,0.6296212,0.04362793,30,hn,ML,23.958194, 5.960482,14.439153, 39.752681, 9.016854,1.6108683,14734.289, 8880.079,24447.899,30,30,30,25, 3,2019,"oto",2019-03-25,"Autumn"
"30",hr,2210.3262,0.7108981,0.8805185,0.04222817,31,hr,ML, 9.905305, 2.724279, 5.651609, 17.360554, 5.016216,0.6277168, 6091.763, 3475.740,10676.741,31,31,31,24, 9,2019,"pri",2019-09-24,"Spring"
"31",unif,2652.2591,0.7396251,0.5897694,0.02572919,32,unif,ML,19.234612, 4.487680,11.924170, 31.026924, 5.340708,0.6424376,11829.287, 7333.365,19081.558,32,32,32,17,12,2019,"ver",2019-12-17,"Summer"
"32",unif,1799.3083,0.5975897,0.6046500,0.03315279,33,unif,ML,25.289594, 5.696125,15.954542, 40.086613,10.633987,2.3476475,15553.100, 9812.043,24653.267,33,33,33, 1, 4,2020,"oto",2020-04-01,"Autumn"
"33",unif,1768.9365,0.5693917,0.5590674,0.02447023,34,unif,ML,17.573539, 4.274937,10.678888, 28.919609, 6.861842,1.2994562,10807.727, 6567.516,17785.560,34,34,34,15, 1,2021,"ver",2021-01-15,"Summer"
"34",unif,1668.6812,0.8090730,0.5640836,0.02702307,35,unif,ML,24.092573, 4.264181,16.757045, 34.639286,10.111888,1.6973080,14816.932,10305.582,21303.161,35,35,35,26, 3,2021,"oto",2021-03-26,"Autumn"
"35",unif,2076.8094,0.4486067,0.6666031,0.07009782,36,unif,ML,17.666159, 4.954554,10.044843, 31.069991, 7.079096,1.1283111,10864.688, 6177.578,19108.045,36,36,36,22, 9,2021,"pri",2021-09-22,"Spring"
"36",unif,2440.1329,0.5756043,0.5022236,0.03551403,37,unif,ML,30.840293, 6.959010,19.481001, 48.823144, 7.847619,1.3631675,18966.780,11980.815,30026.234,37,37,37,22, 1,2022,"ver",2022-01-22,"Summer"
"37",unif,2291.4902,0.8509164,0.6622907,0.06891723,38,unif,ML,19.796294, 4.228754,12.887169, 30.409571, 7.153846,1.0556127,12174.721, 7925.609,18701.886,38,38,38,31, 3,2022,"oto",2022-03-31,"Autumn"
"38",hn,3847.5381,0.9262970,0.5955459,0.02797531,39,hn,ML,33.172318, 6.327096,22.428825, 49.061986, 6.408537,0.9919578,20400.976,13793.727,30173.122,39,39,39,26,12,2022,"ver",2022-12-26,"Summer"
"39",hn,1398.6590,0.9817361,0.7958924,0.07493109,40,hn,ML,22.236700, 3.964085,15.541612, 31.815930,14.666667,1.9336783,13675.571, 9558.091,19566.797,40,40,40,27, 3,2023,"oto",2023-03-27,"Autumn"
"40",unif,1509.6701,0.8336489,0.6819513,0.05295597,41,unif,ML,11.962929, 2.204198, 8.201320, 17.449834, 5.622047,0.9122571, 7357.201, 5043.812,10731.648,41,41,41,18,10,2023,"pri",2023-10-18,"Spring"
